time,temp_location2,hum_location2,pm25_location2,aqi_location2
4/30/2021 11:00:00 AM,30,77.5,65.5,122
4/30/2021 12:00:00 PM,31.6,70.6,49.8,112
4/30/2021 1:00:00 PM,33.4,62.6,27.4,84
4/30/2021 2:00:00 PM,34.1,61.4,33.7,76
4/30/2021 3:00:00 PM,34.4,61.5,37.7,76
4/30/2021 4:00:00 PM,34.1,63.9,34.3,72
4/30/2021 5:00:00 PM,33.2,65.7,29.8,66
4/30/2021 6:00:00 PM,31.4,69.2,23.4,56
4/30/2021 7:00:00 PM,29.8,78.2,22.8,51
4/30/2021 8:00:00 PM,28.4,84.2,21.2,47
4/30/2021 9:00:00 PM,27.5,87,24.4,48
4/30/2021 10:00:00 PM,27.1,90.1,30.7,55
4/30/2021 11:00:00 PM,27,92.3,30,57
