time,temp_location2,hum_location2,pm25_location2,aqi_location2
5/1/2021 12:00:00 AM,26.8,93.4,28.1,56
5/1/2021 1:00:00 AM,26.5,94.3,25,54
5/1/2021 2:00:00 AM,26.3,95.7,34.2,60
5/1/2021 3:00:00 AM,26.1,97.5,40.5,70
5/1/2021 4:00:00 AM,25.9,98.5,32.6,68
5/1/2021 5:00:00 AM,25.9,98.1,35.2,69
5/1/2021 6:00:00 AM,26.4,96.2,31.9,67
5/1/2021 7:00:00 AM,26.8,94.5,41.1,74
5/1/2021 8:00:00 AM,28.1,89,41.2,77
5/1/2021 9:00:00 AM,29.6,83.6,40.1,78
5/1/2021 10:00:00 AM,28.4,88.5,54,94
5/1/2021 12:00:00 PM,30,83.6,58.2,107
5/1/2021 1:00:00 PM,30.8,80.9,49.8,103
5/1/2021 2:00:00 PM,30.4,84,50.6,102
5/1/2021 3:00:00 PM,29.5,91.6,61.7,111
5/1/2021 4:00:00 PM,29.9,89.8,51.8,107
5/1/2021 5:00:00 PM,30.5,86.3,42.7,97
5/1/2021 6:00:00 PM,29.9,89.3,26.9,75
5/1/2021 7:00:00 PM,28.9,95.1,23.3,61
5/1/2021 8:00:00 PM,28.3,98,23.7,54
5/1/2021 9:00:00 PM,27.9,99.6,26.9,54
5/1/2021 10:00:00 PM,27.6,100,30.6,58
5/1/2021 11:00:00 PM,27.3,100,36.6,65
